TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
AFRB,AFI DEVELOPMENT PLC,B ORD USD0.001,CY0101380612,SHRS,Financials,Real Estate,05/07/2010,Cyprus,USD,£96.88,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
ABM,AFRICAN BATTERY METALS PLC,ORD 0.001P,GB00B6Y3CV16,SHRS,Basic Materials,Basic Resources,09/10/2012,United Kingdom,GBX,£4.03,AIM,,ASQ1,AMQ1
AOF,AFRICA OPPORTUNITY FUND LIMITED,ORD USD0.01,KYG012921048,SHRS,Financials,Financial Services,24/07/2007,Cayman Islands,USD,£41.19,MAIN MARKET - SFS,,SFM3,SFNC
ATM,AFRITIN MINING LIMITED,ORD NPV,GG00BD95V148,SHRS,Basic Materials,Basic Resources,09/11/2017,Guernsey,GBX,£6.90,AIM,,ASQ1,AMQ1
AMPH,AGGREGATED MICRO POWER HOLDINGS PLC,ORD 0.5P,GB00BC4F3V69,SHRS,Utilities,Utilities,18/07/2014,United Kingdom,GBX,£38.87,AIM,,ASQ1,AMQ1
AGK,AGGREKO PLC,ORD 4 329/395P,GB00BK1PTB77,SHRS,Industrials,Industrial Goods & Services,28/05/2014,United Kingdom,GBX,"£2,065.93",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AGTA,AGRITERRA LD,ORD 10P,GG00BDG13C09,SHRS,Consumer Goods,Food & Beverage,01/12/2017,Guernsey,GBX,£3.19,AIM,,AMSM,ASM8
AIBG,AIB GROUP PLC,ORD EUR0.625,IE00BF0L3536,SHRS,Financials,Banks,11/12/2017,Ireland,EUR,"£13,316.03",MAIN MARKET,Premium Equity Commercial Companies,SET3,ON5
AIQ,AIQ LIMITED,ORDS GBP0.01 (DI),KYG0180A1022,SHRS,Financials,Financial Services,09/01/2018,Cayman Islands,GBX,£62.50,MAIN MARKET,,SSQ3,SQS3
AIRC,AIR CHINA LD,H SHS CNY1,CNE1000001S0,SHRS,Consumer Services,Travel & Leisure,17/10/2007,China,GBX,"£3,316.96",MAIN MARKET,Standard Shares,SSX4,SXSN
AIEA,AIREA PLC,ORD 25P,GB0008123027,SHRS,Consumer Goods,Personal & Household Goods,21/12/2005,United Kingdom,GBX,£12.82,AIM,,ASX1,AIMP
AIR,AIR PARTNER PLC,ORD 1P,GB00BD736828,SHRS,Consumer Services,Travel & Leisure,31/01/2017,United Kingdom,GBX,£74.41,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON15
AKR,"AKERS BIOSCIENCES, INC.",COM SHS NPV,US00973E1029,SHRS,Health Care,Healthcare,22/11/2013,United States,GBX,£2.13,AIM,,ASX1,AIMP
ALBA,ALBA MINERAL RESOURCES PLC,ORD 0.1P,GB00B06KBB18,SHRS,Basic Materials,Basic Resources,04/04/2005,United Kingdom,GBX,£9.33,AIM,,ASQ1,AMQ1
ALB,ALBERT TECHNOLOGIES LTD,ORD NIS0.01 (DI),IL0011354904,SHRS,Technology,Technology,11/06/2015,Israel,GBX,£19.53,AIM,,ASQ1,AMQ1
AADV,ALBION DEVELOPMENT VCT PLC,ORD 1P,GB0004832472,SHRS,Financials,Financial Services,27/01/1999,United Kingdom,GBX,£49.54,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAEV,ALBION ENTERPRISE VCT PLC,ORD 1P,GB00B1G3LR35,SHRS,Financials,Financial Services,10/04/2007,United Kingdom,GBX,£52.83,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AATG,ALBION TECHNOLOGY & GENERAL VCT PLC,ORD 1P,GB0005581672,SHRS,Financials,Financial Services,17/01/2001,United Kingdom,GBX,£67.92,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AAVC,ALBION VENTURE CAPITAL TST PLC,ORD 1P,GB0002039625,SHRS,Financials,Financial Services,14/09/1999,United Kingdom,GBX,£59.31,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AEFS,ALCENTRA EUROPEAN FLOATING RATE INCOME FUND LIMITED,RED ORD NPV GBP,GG00B6116N85,SHRS,Financials,Financial Services,06/03/2012,Guernsey,GBX,£155.17,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC7
ALD,ALDERMORE GROUP PLC,ORD GBP0.10,GB00BQQMCJ47,SHRS,Financials,Banks,13/03/2015,United Kingdom,GBX,"£1,074.08",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AXM,ALEXANDER MINING PLC,ORD 0.1P,GB00B06K1665,SHRS,Basic Materials,Basic Resources,04/04/2005,United Kingdom,GBX,£2.27,AIM,,ASX1,AIMP
ALFA,ALFA FINANCIAL SOFTWARE HOLDINGS PLC,ORD 0.1P,GB00BDHXPG30,SHRS,Technology,Technology,01/06/2017,United Kingdom,GBX,"£1,542.00",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
AAA,ALL ASIA ASSET CAPITAL LIMITED,ORD NPV (DI),VGG017801082,SHRS,Financials,Financial Services,02/05/2013,British Virgin Islands,GBX,£8.51,AIM,,ASQ1,AMQ1
AGY,ALLERGY THERAPEUTICS PLC,ORD 0.1P,GB00B02LCQ05,SHRS,Health Care,Healthcare,11/10/2004,United Kingdom,GBX,£176.75,AIM,,ASQ1,AMQ1
APH,ALLIANCE PHARMA PLC,ORD 1P,GB0031030819,SHRS,Health Care,Healthcare,24/03/2005,United Kingdom,GBX,£327.74,AIM,,AMSM,ASM6
ATST,ALLIANCE TRUST PLC,ORD 2.5P,GB00B11V7W98,SHRS,Financials,Financial Services,21/06/2006,United Kingdom,GBX,"£2,613.89",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ATT,ALLIANZ TECHNOLOGY TRUST PLC,ORD 25P,GB0003390720,SHRS,Financials,Financial Services,01/05/2007,United Kingdom,GBX,£328.95,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
ALM,ALLIED MINDS PLC,ORD 1P,GB00BLRLH124,SHRS,Financials,Financial Services,25/06/2014,United Kingdom,GBX,£383.51,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
AFM,ALPHA FINANCIAL MARKETS CONSULTING PLC,ORD 0.075P,GB00BF16C058,SHRS,Industrials,Industrial Goods & Services,11/10/2017,United Kingdom,GBX,£167.10,AIM,,ASQ1,AMQ1
AFX,ALPHA FX GROUP PLC,ORD 0.2P,GB00BF1TM596,SHRS,Financials,Financial Services,07/04/2017,United Kingdom,GBX,£170.36,AIM,,ASQ1,AMQ1
ALGW,ALPHA GROWTH PLC,ORD GBP0.001,GB00BYWKBC49,SHRS,Financials,Financial Services,20/12/2017,United Kingdom,GBX,£1.33,MAIN MARKET,Standard Shares,SSQ3,SQS3
ALPH,ALPHA PYRENEES TRUST LTD,ORD NPV,GB00B0P6FY18,SHRS,Financials,Real Estate,20/03/2006,Guernsey,GBX,£0.08,MAIN MARKET,Standard Shares,SSX3,SQSL
ARTL,ALPHA REAL TRUST LIMITED,ORD NPV,GB00B13VDP26,SHRS,Financials,Real Estate,21/12/2006,Guernsey,GBX,£92.13,MAIN MARKET - SFS,,SFM2,SFQQ
ALF,ALTERNATIVE LIQUIDITY FUND LIMITED,ORD USD0.01,GG00BYRGPD65,SHRS,Financials,Financial Services,17/09/2015,Guernsey,USD,£24.75,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON15
ALT,ALTITUDE GROUP PLC,ORD 0.4P,GB00B0LSFV82,SHRS,Industrials,Industrial Goods & Services,19/09/2006,United Kingdom,GBX,£37.37,AIM,,ASQ1,AMQ1
ANR,ALTONA ENERGY PLC,ORD 0.01P,GB00B06GJT32,SHRS,Basic Materials,Basic Resources,10/03/2005,United Kingdom,GBX,£7.02,AIM,,ASX1,AIMP
ALS,ALTUS STRATEGIES PLC,ORD 1P,GB00BYT26M80,SHRS,Basic Materials,Basic Resources,10/08/2017,United Kingdom,GBX,£9.15,AIM,,ASQ1,AMQ1
ALTN,ALTYN PLC,ORD 0.1P,GB00B015PT76,SHRS,Basic Materials,Basic Resources,10/06/2004,United Kingdom,GBX,£32.10,MAIN MARKET,Standard Shares,SET3,ON15
ALU,ALUMASC GROUP PLC,ORD 12.5P,GB0000280353,SHRS,Industrials,Construction & Materials,15/02/2000,United Kingdom,GBX,£62.33,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
AT2,AMATI VCT 2 PLC,ORD 5P,GB00B641BB82,SHRS,Financials,Financial Services,10/11/2011,United Kingdom,GBX,£56.02,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
ATI,AMATI VCT PLC,ORD 10P,GB00B05N8X20,SHRS,Financials,Financial Services,30/03/2005,United Kingdom,GBX,£59.12,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
AMBR,AMBRIAN PLC,ORD 1P,GB0003763140,SHRS,Basic Materials,Basic Resources,02/06/2000,United Kingdom,GBX,£0.00,AIM,,ASX1,AIMP
AA4,AMEDEO AIR FOUR PLUS LIMITED,RED ORD NPV,GG00BWC53H48,SHRS,Industrials,Industrial Goods & Services,13/05/2015,Guernsey,GBX,£687.21,MAIN MARKET - SFS,,SFM2,SFQQ
AMED,AMEDEO RESOURCES PLC,ORD 10P,GB00BZ0XVY42,SHRS,Financials,Financial Services,01/07/2015,United Kingdom,GBX,£4.25,AIM,,ASX1,AIMP
AMER,AMERISUR RESOURCES PLC,ORD 0.1P,GB0032087826,SHRS,Oil & Gas,Oil & Gas,29/07/2004,United Kingdom,GBX,£228.08,AIM,,AMSM,ASM6
AFS,AMIAD WATER SYSTEMS LTD,ORD ILS0.5,IL0010943905,SHRS,Industrials,Industrial Goods & Services,05/12/2005,Israel,GBX,£37.40,AIM,,ASX1,AIMP
AEX,AMINEX PLC,ORD EUR0.001,IE0003073255,SHRS,Oil & Gas,Oil & Gas,16/09/1996,Ireland,GBX,£105.66,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
AMO,AMINO TECHNOLOGIES PLC,ORD 1P,GB00B013SN63,SHRS,Technology,Technology,19/12/2005,United Kingdom,GBX,£145.96,AIM,,ASQ1,AMQ1
AMP,AMPHION INNOVATIONS PLC,ORD 1P,GB00B0DJNP99,SHRS,Financials,Financial Services,20/03/2007,Isle of Man,GBX,£3.36,AIM,,ASX1,AIMP
AMYT,AMRYT PHARMA PLC,ORD 1P,GB00BDD1LS57,SHRS,Health Care,Healthcare,19/04/2016,United Kingdom,GBX,£55.10,AIM,,ASQ1,AMQ1
AMC,AMUR MINERALS CORPORATION,ORD NPV,VGG042401007,SHRS,Basic Materials,Basic Resources,15/03/2006,British Virgin Islands,GBX,£45.52,AIM,,AMSM,ASM6
ADL,ANDALAS ENERGY AND POWER PLC,ORD NPV,IM00B1FPZP63,SHRS,Oil & Gas,Oil & Gas,18/12/2006,Isle of Man,GBX,£2.27,AIM,,ASQ1,AMQ1
ASY,ANDREWS SYKES GROUP PLC,ORD 1P,GB0002684552,SHRS,Industrials,Industrial Goods & Services,24/12/2001,United Kingdom,GBX,£216.38,AIM,,ASQ1,AMQ1
AGL,ANGLE PLC,ORD 10P,GB0034330679,SHRS,Health Care,Healthcare,23/12/2004,United Kingdom,GBX,£58.54,AIM,,ASX1,AIMP
AYM,ANGLESEY MINING PLC,ORD 1P,GB0000320472,SHRS,Basic Materials,Basic Resources,08/09/2005,United Kingdom,GBX,£5.11,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
ANG,ANGLING DIRECT PLC,ORD 1P,GB00BF1XGQ00,SHRS,Consumer Services,Retail,13/07/2017,United Kingdom,GBX,£42.14,AIM,,ASQ1,AMQ1
AAAP,ANGLO AFRICAN AGRICULTURE PLC,ORD 0.1P,GB00B7V2GY97,SHRS,Financials,Financial Services,30/07/2015,United Kingdom,GBX,£1.42,MAIN MARKET,Standard Shares,SSQ3,SQS3
AAOG,ANGLO AFRICAN OIL & GAS PLC,ORD 5P,GB00BD0Q3L08,SHRS,Oil & Gas,Oil & Gas,06/03/2017,United Kingdom,GBX,£7.12,AIM,,ASQ1,AMQ1
AAL,ANGLO AMERICAN PLC,ORD USD0.54945,GB00B1XZS820,SHRS,Basic Materials,Basic Resources,02/07/2007,United Kingdom,GBX,"£23,999.23",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
AAZ,ANGLO ASIAN MINING PLC,ORD 1P,GB00B0C18177,SHRS,Basic Materials,Basic Resources,17/07/2006,United Kingdom,GBX,£46.64,AIM,,ASQ1,AMQ1
AEP,ANGLO-EASTERN PLANTATIONS PLC,ORD 25P,GB0000365774,SHRS,Consumer Goods,Food & Beverage,12/12/2005,United Kingdom,GBX,£301.24,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
APF,ANGLO PACIFIC GROUP PLC,ORD 2P,GB0006449366,SHRS,Basic Materials,Basic Resources,02/12/2005,United Kingdom,GBX,£274.97,MAIN MARKET,Standard Shares,SSMU,SMEV
ANGS,ANGUS ENERGY PLC,ORD GBP0.002,GB00BYWKC989,SHRS,Oil & Gas,Oil & Gas,14/11/2016,United Kingdom,GBX,£23.79,AIM,,ASQ1,AMQ1
