TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in £m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
HFEL,HENDERSON FAR EAST INCOME LIMITED,ORD NPV,JE00B1GXH751,SHRS,Financials,Financial Services,18/12/2006,Jersey,GBX,£461.47,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
HHI,HENDERSON HIGH INCOME TRUST PLC,ORD 5P,GB0009580571,SHRS,Financials,Financial Services,02/12/2005,United Kingdom,GBX,£236.62,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
HINT,HENDERSON INTERNATIONAL INCOME TRUST PLC,ORD 1P,GB00B3PHCS86,SHRS,Financials,Financial Services,28/04/2011,United Kingdom,GBX,£298.96,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC7
HOT,HENDERSON OPPORTUNITES TRUST PLC,ORD 25P,GB0008536574,SHRS,Financials,Financial Services,22/01/2007,United Kingdom,GBX,£87.01,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
44IO,HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,4 1/2% CUM PRF STK,GB0009065284,SHRS,Financials,Financial Services,28/06/2002,United Kingdom,GBP,,MAIN MARKET,Standard Shares,SSX4,SXSN
HSL,HENDERSON SMALLER COMPANIES INVESTMENT TRUST PLC,ORD 25P,GB0009065060,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£666.34,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
HRI,HERALD INVESTMENT TRUST PLC,ORD 25P,GB0004228648,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£843.69,MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
HER,HERENCIA RESOURCES PLC,ORD 0.01P,GB00B069DV22,SHRS,Basic Materials,Basic Resources,22/02/2005,United Kingdom,GBX,£7.19,AIM,,ASX1,AIMP
HPAC,HERMES PACIFIC INVESTMENTS PLC,ORD 100P,GB00BD02KZ12,SHRS,Consumer Services,Travel & Leisure,10/09/2013,United Kingdom,GBX,£2.10,AIM,,ASX1,AIMP
HGT,HG CAPITAL TRUST PLC,ORD 25P,GB0003921052,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£653.18,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
HBRN,HIBERNIA REIT P.L.C.,ORD EUR0.10,IE00BGHQ1986,SHRS,Financials,Real Estate,11/12/2013,Ireland,EUR,£906.13,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
HICL,HICL INFRASTRUCTURE COMPANY LD,ORD 0.01P,GB00B0T4LH64,SHRS,Financials,Financial Services,22/09/2008,Guernsey,GBX,"£2,649.40",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
HID,HIDONG ESTATE PLC,ORD 10P,GB0004251863,SHRS,Consumer Goods,Food & Beverage,16/04/1996,United Kingdom,GBX,,MAIN MARKET,Premium Equity Commercial Companies,MISL,STBL
HMSF,HIGHBRIDGE MULTI-STRATEGY FUND LIMITED,ORD NPV GBP,GB00B13YVW48,SHRS,Financials,Financial Services,22/09/2008,Guernsey,GBX,£215.48,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
HCFT,HIGHCROFT INVESTMENTS PLC,ORD 25P,GB0004254875,SHRS,Financials,Real Estate,21/12/2006,United Kingdom,GBX,£48.57,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
HGM,HIGHLAND GOLD MINING LD,ORD 0.1P,GB0032360173,SHRS,Basic Materials,Basic Resources,02/12/2005,Jersey,GBX,£487.51,AIM,,AMSM,ASM6
HNR,HIGHLANDS NATURAL RESOURCES PLC,ORD 5P,GB00BWC4X262,SHRS,Oil & Gas,Oil & Gas,25/03/2015,United Kingdom,GBX,£25.11,MAIN MARKET,Standard Shares,SSQ3,SQS3
HWC,HIGHWAY CAPITAL PLC,ORD 2P,GB0008579384,SHRS,Financials,Financial Services,17/09/1999,United Kingdom,GBX,£1.49,MAIN MARKET,,SSX3,SQSL
HIK,HIKMA PHARMACEUTICALS PLC,ORD SHS 10P,GB00B0LCW083,SHRS,Health Care,Healthcare,19/12/2005,United Kingdom,GBX,"£2,327.36",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HILS,HILL & SMITH HOLDINGS PLC,ORD 25P,GB0004270301,SHRS,Industrials,Industrial Goods & Services,02/12/2005,United Kingdom,GBX,£943.58,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HFG,HILTON FOOD GROUP PLC,ORD 10P,GB00B1V9NW54,SHRS,Consumer Goods,Food & Beverage,17/05/2007,United Kingdom,GBX,£691.46,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
HYF,HIMALAYAN FUND NV,ORD EUR0.01,NL0000464154,SHRS,Financials,Financial Services,17/08/2006,Netherlands,USD,£0.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX4,SXNC
HSX,HISCOX LTD,ORD 6.5P (DI),BMG4593F1389,SHRS,Financials,Insurance,26/03/2015,Bermuda,GBX,"£4,057.63",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HMLH,HML HOLDINGS PLC,ORD 1.5P,GB00B16DFY89,SHRS,Financials,Real Estate,21/03/2007,United Kingdom,GBX,£13.84,AIM,,ASX1,AIMP
HOC,HOCHSCHILD MINING PLC,ORD 25P,GB00B1FW5029,SHRS,Basic Materials,Basic Resources,18/12/2006,United Kingdom,GBX,"£1,163.67",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HRG,HOGG ROBINSON GROUP PLC,ORD 1P,GB00B1CM8S45,SHRS,Industrials,Industrial Goods & Services,18/12/2006,United Kingdom,GBX,£265.36,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
HDT,HOLDERS TECHNOLOGY PLC,ORD 10P,GB0004312350,SHRS,Industrials,Industrial Goods & Services,28/06/2002,United Kingdom,GBX,£1.31,AIM,,ASX1,AIMP
BOWL,HOLLYWOOD BOWL GROUP PLC,ORD 1P,GB00BD0NVK62,SHRS,Consumer Services,Travel & Leisure,21/09/2016,United Kingdom,GBX,£313.50,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
HSV,HOMESERVE PLC,ORD 2 9/13P,GB00BYYTFB60,SHRS,Industrials,Industrial Goods & Services,20/07/2015,United Kingdom,GBX,"£2,577.42",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HONY,HONEYCOMB INVESTMENT TRUST PLC,ORD 1P,GB00BYZV3G25,SHRS,,,23/12/2015,United Kingdom,GBX,£226.16,MAIN MARKET - SFS,,SFM2,SFQQ
HON,HONEYWELL INTERNATIONAL INCORPORATED,COM STK USD1,US4385161066,SHRS,Industrials,Industrial Goods & Services,27/09/2004,United States,USD,"£84,656.54",MAIN MARKET,Standard Shares,SSX4,SXSN
HKLB,HONG KONG LAND HOLDINGS LD,ORD US$0.10(BERMUDA REG),BMG4587L1090,SHRS,Financials,Real Estate,03/11/2004,Bermuda,USD,"£12,259.98",MAIN MARKET,Standard Shares,SSX4,SXSN
HKLD,HONG KONG LAND HOLDINGS LD,ORD US$0.10(SING.REG),BMG4587L1090,SHRS,Financials,Real Estate,27/09/2004,Bermuda,USD,"£12,259.98",MAIN MARKET,Standard Shares,SSX4,SXSN
HKLJ,HONG KONG LAND HOLDINGS LD,ORD US$0.10(JERSEY REG),BMG4587L1090,SHRS,Financials,Real Estate,18/05/2005,Bermuda,USD,"£12,259.98",MAIN MARKET,Standard Shares,SSX4,SXSN
HZD,HORIZON DISCOVERY GROUP PLC,ORD 1P,GB00BK8FL363,SHRS,Health Care,Healthcare,27/03/2014,United Kingdom,GBX,£344.39,AIM,,AMSM,ASM6
HZM,HORIZONTE MINERALS PLC,ORD 1P,GB00B11DNM70,SHRS,Basic Materials,Basic Resources,21/03/2007,United Kingdom,GBX,£62.74,AIM,,ASX1,AIMP
HRN,HORNBY PLC,ORD 1P,GB00B01CZ652,SHRS,Consumer Goods,Personal & Household Goods,02/12/2005,United Kingdom,GBX,£32.44,AIM,,AMSM,ASM8
HSW,HOSTELWORLD GROUP PLC,ORD EUR0.01,GB00BYYN4225,SHRS,Consumer Services,Travel & Leisure,31/10/2015,United Kingdom,GBX,£342.14,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
HOTC,HOTEL CHOCOLAT GROUP PLC,ORD 0.1P,GB00BYZC3B04,SHRS,Consumer Goods,Food & Beverage,10/05/2016,United Kingdom,GBX,£346.98,AIM,,ASQ1,AMQ1
HWDN,HOWDEN JOINERY GROUP PLC,ORD 10P,GB0005576813,SHRS,Industrials,Industrial Goods & Services,22/09/2008,United Kingdom,GBX,"£2,882.25",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HSBA,HSBC HOLDINGS PLC,ORD $0.50 (UK REG),GB0005405286,SHRS,Financials,Banks,13/01/2006,United Kingdom,GBX,"£150,185.77",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
HSS,HSS HIRE GROUP PLC,ORD GBP0.01,GB00BVFD4645,SHRS,Industrials,Industrial Goods & Services,07/02/2015,United Kingdom,GBX,£38.30,MAIN MARKET,Premium Equity Commercial Companies,SET3,ON10
HAT,H&T GROUP PLC,ORD 5P,GB00B12RQD06,SHRS,Financials,Financial Services,16/12/2008,United Kingdom,GBX,£131.03,AIM,,AMSM,ASM6
HUM,HUMMINGBIRD RESOURCES PLC,ORD 1P,GB00B60BWY28,SHRS,Basic Materials,Basic Resources,10/12/2010,United Kingdom,GBX,£116.35,AIM,,ASQ1,AMQ1
HUNT,HUNTERS PROPERTY PLC,ORD 4P,GB00BYMW5L71,SHRS,Financials,Real Estate,02/07/2015,United Kingdom,GBX,£15.91,AIM,,AMSM,ASM7
HTG,HUNTING PLC,ORD 25P,GB0004478896,SHRS,Oil & Gas,Oil & Gas,16/01/2006,United Kingdom,GBX,"£1,006.38",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
HNT,HUNTSWORTH PLC,ORD 1P,GB00B0CRWK29,SHRS,Consumer Services,Media,02/12/2005,United Kingdom,GBX,£277.34,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC6
HUR,HURRICANE ENERGY PLC,ORD 0.1P,GB00B580MF54,SHRS,Oil & Gas,Oil & Gas,04/02/2014,United Kingdom,GBX,£707.01,AIM,,AMSM,AS50
HCM,HUTCHISON CHINA MEDITECH LIMITED,ORD USD1,KYG4672N1016,SHRS,Health Care,Healthcare,21/03/2007,Cayman Islands,GBX,"£3,441.96",AIM,,ASQ1,AMQ1
HVO,HVIVO PLC,ORD 5P,GB00B6ZM0X53,SHRS,Health Care,Healthcare,03/05/2012,United Kingdom,GBX,£42.62,AIM,,ASQ1,AMQ1
HWA,HWANGE COLLIERY COMPANY LIMITED,ZWD1,ZW0009011934,SHRS,Basic Materials,Basic Resources,11/08/2005,Zimbabwe,USD,,MAIN MARKET,Standard Shares,SSX4,SXSN
HYR,HYDRODEC GROUP PLC,ORD 0.5P,GB00B02FJF09,SHRS,Oil & Gas,Oil & Gas,16/09/2008,United Kingdom,GBX,£14.75,AIM,,ASQ1,AMQ1
HYDG,HYDROGEN GROUP PLC,ORD 1P,GB00B1DJTV45,SHRS,Industrials,Industrial Goods & Services,20/12/2006,United Kingdom,GBX,£9.29,AIM,,ASX1,AIMP
HYG,HYGEA VCT PLC,ORD 50P,GB0031256109,SHRS,Financials,Financial Services,28/04/2006,United Kingdom,GBX,£3.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
I3E,I3 ENERGY PLC,ORD 0.01P,GB00BDHXPJ60,SHRS,Oil & Gas,Oil & Gas,25/07/2017,United Kingdom,GBX,£14.26,AIM,,ASQ1,AMQ1
IBST,IBSTOCK PLC,ORD 1P,GB00BYXJC278,SHRS,Industrials,Construction & Materials,27/10/2015,United Kingdom,GBX,"£1,044.50",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
ICGT,ICG ENTERPRISE TRUST PLC,ORD 10P,GB0003292009,SHRS,Financials,Financial Services,08/07/2005,United Kingdom,GBX,£566.56,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
LBOW,ICG-LONGBOW SENIOR SECURED UK PROPERTY DEBT INVESTMENTS LIMITED,ORD NPV,GG00B8C23S81,SHRS,Financials,Financial Services,05/02/2013,Guernsey,GBX,£120.34,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
IDEA,IDEAGEN PLC,ORD 1P,GB00B0CM0C50,SHRS,Technology,Technology,02/07/2012,United Kingdom,GBX,£247.28,AIM,,ASQ1,AMQ1
IDE,IDE GROUP HOLDINGS PLC,ORD 2.5P,GB00B4NJ4984,SHRS,Technology,Technology,30/06/2010,United Kingdom,GBX,£57.21,AIM,,ASQ1,AMQ1
IDOX,IDOX PLC,ORD 1P,GB0002998192,SHRS,Technology,Technology,19/12/2000,United Kingdom,GBX,£138.14,AIM,,AMSM,ASM6
IBPO,IENERGIZER LD,ORD 1P,GG00B54NMG96,SHRS,Industrials,Industrial Goods & Services,14/09/2010,Guernsey,GBX,£119.78,AIM,,ASQ1,AMQ1
IFP,IFG GROUP PLC,ORD EUR0.12,IE0002325243,SHRS,Financials,Financial Services,08/07/2005,Ireland,GBX,£193.95,MAIN MARKET,Standard Shares,SSMU,SMEV
IGAS,IGAS ENERGY PLC,ORD 0.002P,GB00BZ042C28,SHRS,Oil & Gas,Oil & Gas,15/06/2017,United Kingdom,GBX,£109.76,AIM,,AMSM,ASM6
IGR,IG DESIGN GROUP PLC,ORD 5P,GB0004526900,SHRS,Consumer Goods,Personal & Household Goods,02/12/2005,United Kingdom,GBX,£263.16,AIM,,ASQ1,AMQ1
IGG,IG GROUP HOLDINGS PLC,ORD 0.005P,GB00B06QFB75,SHRS,Financials,Financial Services,04/05/2005,United Kingdom,GBX,"£2,843.79",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IKA,ILIKA PLC,ORD 1P,GB00B608Z994,SHRS,Oil & Gas,Oil & Gas,14/05/2010,United Kingdom,GBX,£19.68,AIM,,ASQ1,AMQ1
IGE,IMAGE SCAN HOLDINGS PLC,ORD 1P,GB0031410581,SHRS,Industrials,Industrial Goods & Services,20/12/2006,United Kingdom,GBX,£9.35,AIM,,ASX1,AIMP
IMTK,IMAGINATIK PLC,ORD 1P,GB00BP8XY588,SHRS,Technology,Technology,15/08/2014,United Kingdom,GBX,£1.96,AIM,,ASX1,AIMP
IMO,IMIMOBILE PLC,ORD 10P,GB00BLBP4Y22,SHRS,Technology,Technology,27/06/2014,United Kingdom,GBX,£151.95,AIM,,ASQ1,AMQ1
IMI,IMI PLC,ORD 28 4/7P,GB00BGLP8L22,SHRS,Industrials,Industrial Goods & Services,17/02/2014,United Kingdom,GBX,"£3,615.38",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IME,IMMEDIA GROUP PLC,ORD 10P,GB0033881904,SHRS,Consumer Services,Media,23/09/2004,United Kingdom,GBX,£3.28,AIM,,ASX1,AIMP
IDH,IMMUNODIAGNOSTIC SYSTEMS HOLDINGS PLC,ORD 2P,GB00B01YZ052,SHRS,Health Care,Healthcare,21/09/2005,United Kingdom,GBX,£85.30,AIM,,ASQ1,AMQ1
IMM,IMMUPHARMA PLC,ORD 10P,GB0033711010,SHRS,Health Care,Healthcare,17/03/2009,United Kingdom,GBX,£179.22,AIM,,AMSM,ASM6
IHR,IMPACT HEALTHCARE REIT PLC,ORD 1P,GB00BYXVMJ03,SHRS,Financials,Financial Services,07/03/2017,United Kingdom,GBX,£203.74,MAIN MARKET - SFS,,SFM1,SFML
IAEA,IMPAX ASIAN ENVIRONMENTAL MARKETS PLC,ORD 1P A RIGHTS,GB00BCBV5662,SHRS,,,06/08/2013,United Kingdom,GBX,,MAIN MARKET,,MISL,STBL
IAEB,IMPAX ASIAN ENVIRONMENTAL MARKETS PLC,ORD 1P B RIGHTS,GB00BCBV5886,SHRS,,,06/08/2013,United Kingdom,GBX,,MAIN MARKET,,MISL,STBL
IAES,IMPAX ASIAN ENVIRONMENTAL MARKETS PLC,SUB SHS 0.1P,GB00B4M82P85,SHRS,,,23/10/2009,United Kingdom,GBX,£2.24,MAIN MARKET,,SSX3,SQSL
IPX,IMPAX ASSET MANAGEMENT GROUP PLC,ORD 1P,GB0004905260,SHRS,Financials,Financial Services,22/03/2006,United Kingdom,GBX,£230.83,AIM,,ASX1,AIMP
IEM,IMPAX ENVIRONMENTAL MARKETS PLC,ORD 10P,GB0031232498,SHRS,Financials,Financial Services,20/03/2006,United Kingdom,GBX,£473.50,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
IPEL,IMPELLAM GROUP PLC,ORD 1P,GB00B8HWGJ55,SHRS,Industrials,Industrial Goods & Services,04/09/2012,United Kingdom,GBX,£295.61,AIM,,ASQ1,AMQ1
IMB,IMPERIAL BRANDS PLC,ORD 10P,GB0004544929,SHRS,Consumer Goods,Personal & Household Goods,17/04/2001,United Kingdom,GBX,"£27,644.07",MAIN MARKET,Premium Equity Commercial Companies,SET1,FE10
INCH,INCHCAPE PLC,ORD 10P,GB00B61TVQ02,SHRS,Consumer Services,Retail,17/05/2010,United Kingdom,GBX,"£3,006.81",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IGV,INCOME & GROWTH VCT (THE) PLC,ORD 1P,GB00B29BN198,SHRS,Financials,Financial Services,08/02/2008,United Kingdom,GBX,£68.16,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
IIT,INDEPENDENT INVESTMENT TRUST PLC,ORD 25P,GB0000811686,SHRS,Financials,Financial Services,18/10/2000,United Kingdom,GBX,£392.73,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
INM,INDEPENDENT NEWS & MEDIA PLC,ORD EUR0.01,IE00B59HWB19,SHRS,Consumer Services,Media,14/06/2010,Ireland,EUR,£127.54,MAIN MARKET,Premium Equity Commercial Companies,SSQ3,SQQ3
IOG,INDEPENDENT OIL & GAS PLC,ORD 1P,GB00BF49WF64,SHRS,Oil & Gas,Oil & Gas,30/09/2013,United Kingdom,GBX,£21.34,AIM,,ASQ1,AMQ1
IGC,INDIA CAPITAL GROWTH FUND LIMITED,ORD 1P,GB00B0P8RJ60,SHRS,Financials,Financial Services,22/12/2005,Guernsey,GBX,£122.35,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET3,ON10
IND,INDIGOVISION GROUP PLC,ORD 1P,GB0032654534,SHRS,Technology,Technology,22/06/2005,United Kingdom,GBX,£10.44,AIM,,ASQ1,AMQ1
INDV,INDIVIOR PLC,ORD USD0.10,GB00BRS65X63,SHRS,Health Care,Healthcare,23/12/2014,United Kingdom,GBX,"£2,905.33",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
INDI,INDUS GAS LIMITED,ORD 1P,GG00B39HF298,SHRS,Oil & Gas,Oil & Gas,06/06/2008,Guernsey,GBX,£686.15,AIM,,AMSM,AM25
INFT,INFINITY ENERGY S.A,ORD NPV,LU0726886947,SHRS,Financials,Financial Services,17/02/2012,Luxembourg,GBX,£2.46,AIM,,ASQ1,AMQ1
INF,INFORMA PLC,ORD 0.1P,GB00BMJ6DW54,SHRS,Consumer Services,Media,30/05/2014,United Kingdom,GBX,"£5,736.72",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
INFA,INFRASTRATA PLC,ORD 0.01P,GB00B28YMP66,SHRS,Utilities,Utilities,17/01/2008,United Kingdom,GBX,£1.45,AIM,,ASQ1,AMQ1
IIP,INFRASTRUCTURE INDIA PLC,ORD 1P,IM00B2QVWM67,SHRS,Financials,Financial Services,30/06/2008,Isle of Man,GBX,£26.19,AIM,,ASQ1,AMQ1
IE1G,INGENIOUS ENTERTAINMENT VCT 1 PLC,G SHS 1P,GB00B62VNG90,SHRS,,,19/04/2012,United Kingdom,GBX,£0.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX4,SXNC
IE1H,INGENIOUS ENTERTAINMENT VCT 1 PLC,H SHS 1P,GB00B956JT75,SHRS,,,17/04/2013,United Kingdom,GBX,£0.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX4,SXNC
IEVG,INGENIOUS ENTERTAINMENT VCT 2 PLC,G SHS 1P,GB00B6S3D702,SHRS,,,19/04/2012,United Kingdom,GBX,£0.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX4,SXNC
IEVH,INGENIOUS ENTERTAINMENT VCT 2 PLC,H SHS 1P,GB00B94SVP47,SHRS,,,17/04/2013,United Kingdom,GBX,£0.00,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSX4,SXNC
ING,INGENTA PLC,ORD 10P,GB00B3BDTG73,SHRS,Technology,Technology,25/07/2008,United Kingdom,GBX,£21.40,AIM,,ASX1,AIMP
INL,INLAND HOMES PLC,ORD 10P,GB00B1TR0310,SHRS,Financials,Real Estate,03/04/2007,United Kingdom,GBX,£129.78,AIM,,ASQ1,AMQ1
ISAT,INMARSAT PLC,ORD EUR0.0005,GB00B09LSH68,SHRS,Telecommunications,Telecommunications,22/09/2008,United Kingdom,GBX,"£2,125.83",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IDP,INNOVADERMA PLC,ORD EUR0.10,GB00BT9PTW34,SHRS,Consumer Goods,Personal & Household Goods,07/09/2016,United Kingdom,GBX,£29.54,MAIN MARKET,Standard Shares,SSQ3,SQS3
IHC,INSPIRATION HEALTHCARE GROUP PLC,ORD 10P,GB00BXDZL105,SHRS,Health Care,Healthcare,24/06/2015,United Kingdom,GBX,£17.17,AIM,,ASQ1,AMQ1
INSE,INSPIRED ENERGY PLC,ORD 0.125P,GB00B5TZC716,SHRS,Industrials,Industrial Goods & Services,28/11/2011,United Kingdom,GBX,£118.95,AIM,,ASQ1,AMQ1
INSP,INSPIRIT ENERGY HOLDINGS PLC,ORD 0.1P,GB00B44W9L31,SHRS,Industrials,Construction & Materials,14/12/2010,United Kingdom,GBX,£0.99,AIM,,ASX1,AIMP
INS,INSTEM PLC,ORD 10P,GB00B3TQCK30,SHRS,Technology,Technology,13/10/2010,United Kingdom,GBX,£27.64,AIM,,ASQ1,AMQ1
IDHC,INTEGRATED DIAGNOSTICS HOLDINGS PLC,ORD USD1.00,JE00BV9H9G76,SHRS,Health Care,Healthcare,09/05/2015,Jersey,USD,£487.85,MAIN MARKET,Standard Shares,SSMU,SMEV
SKIN,INTEGUMEN PLC,ORD 1P,GB00BYWJ6269,SHRS,Consumer Goods,Personal & Household Goods,05/04/2017,United Kingdom,GBX,£2.63,AIM,,ASQ1,AMQ1
IGP,INTERCEDE GROUP PLC,ORD 1P,GB0003287249,SHRS,Technology,Technology,08/01/2001,United Kingdom,GBX,£14.89,AIM,,ASX1,AIMP
IHG,INTERCONTINENTAL HOTELS GROUP PLC,ORD 19 17/21P,GB00BD8QVH41,SHRS,Consumer Services,Travel & Leisure,08/05/2017,United Kingdom,GBX,"£8,952.34",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
ICP,INTERMEDIATE CAPITAL GROUP PLC,ORD 26 1/4P,GB00BYT1DJ19,SHRS,Financials,Financial Services,01/08/2016,United Kingdom,GBX,"£3,360.33",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IBT,INTERNATIONAL BIOTECHNOLOGY TRUST PLC,ORD 25P,GB0004559349,SHRS,Financials,Financial Services,22/03/2005,United Kingdom,GBX,£230.54,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,COM STK USD0.20,US4592001014,SHRS,Technology,Technology,27/09/2004,United States,USD,"£106,208.36",MAIN MARKET,Standard Shares,SSX4,SXSN
IAG,INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A.,ORD EUR0.50 (CDI),ES0177542018,SHRS,Consumer Services,Travel & Leisure,24/01/2011,Spain,GBX,"£13,111.61",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
IFL,INTERNATIONAL FERRO METALS LIMITED,ORD NPV,AU0000XINAK8,SHRS,Basic Materials,Basic Resources,30/09/2005,Australia,GBX,£4.99,MAIN MARKET,,SET3,ON10
IPF,INTERNATIONAL PERSONAL FINANCE PLC,ORD 10P,GB00B1YKG049,SHRS,Financials,Financial Services,16/07/2007,United Kingdom,GBX,£442.66,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
INPP,INTERNATIONAL PUBLIC PARTNERSHIPS LD,ORD 0.01P,GB00B188SR50,SHRS,Financials,Financial Services,22/09/2008,Guernsey,GBX,"£2,113.75",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
ITQ,INTERQUEST GROUP PLC,ORD 1P,GB00B07W3X22,SHRS,Industrials,Industrial Goods & Services,22/03/2006,United Kingdom,GBX,£10.24,AIM,,ASX1,AIMP
IRV,INTERSERVE PLC,ORD 10P,GB0001528156,SHRS,Industrials,Industrial Goods & Services,22/12/2006,United Kingdom,GBX,£155.62,MAIN MARKET,Premium Equity Commercial Companies,SSMM,SSC5
ITRK,INTERTEK GROUP PLC,ORD 1P,GB0031638363,SHRS,Industrials,Industrial Goods & Services,31/10/2003,United Kingdom,GBX,"£8,108.26",MAIN MARKET,Premium Equity Commercial Companies,SET1,FS10
INTU,INTU PROPERTIES PLC,ORD 50P,GB0006834344,SHRS,Financials,Real Estate,24/06/2002,United Kingdom,GBX,"£3,054.26",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25F
IAT,INVESCO ASIA TRUST PLC,ORD 10P,GB0004535307,SHRS,Financials,Financial Services,18/12/2007,United Kingdom,GBX,£214.87,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
IVI,INVESCO INCOME GROWTH TRUST PLC,ORD 25P,GB0003585725,SHRS,Financials,Financial Services,02/12/2005,United Kingdom,GBX,£168.04,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC6
IPE,INVESCO PERPETUAL ENHANCED INCOME LIMITED,ORD 5P,GB00B05NYM32,SHRS,Financials,Financial Services,19/12/2006,Jersey,GBX,£132.59,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
IVPB,INVESCO PERPETUAL SELECT TRUST PLC,BALANCED RISK SHS 1P,GB00B1DQ6696,SHRS,Financials,Financial Services,20/03/2007,United Kingdom,GBX,£9.84,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
IVPG,INVESCO PERPETUAL SELECT TRUST PLC,GLBL EQTY INC SHS 1P,GB00B1DQ6472,SHRS,Financials,Financial Services,20/03/2007,United Kingdom,GBX,£69.57,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
IVPM,INVESCO PERPETUAL SELECT TRUST PLC,MANAGED LIQUIDITY SHS 1P,GB00B1DQ6704,SHRS,Financials,Financial Services,20/03/2007,United Kingdom,GBX,£5.08,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
IVPU,INVESCO PERPETUAL SELECT TRUST PLC,UK EQTY SHS 1P,GB00B1DPVL60,SHRS,Financials,Financial Services,20/03/2007,United Kingdom,GBX,£69.36,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSQ3,SQQ3
